dateChecked,state,StateName,DateofStayatHomeOrder,DaysSinceStayatHomeOrder,DaysSinceFirstPositive,DaysSinceTestStart,positive,negative,pending,death,hospitalized,totaltests,recovered,inIcuCumulative,onVentilatorCumulative,TotalPop2018,15-49yearsAllcauses,15-49yearsAsthma,15-49yearsChronickidneydisease,15-49yearsChronicobstructivepulmonarydisease,15-49yearsDiabetesmellitus,15-49yearsInterstitiallungdiseaseandpulmonarysarcoidosis,15-49yearsIschemicheartdisease,15-49yearsNeoplasms,15-49yearsOtherchronicrespiratorydiseases,15-49yearsRheumaticheartdisease,15-49yearsStroke,50-69yearsAllcauses,50-69yearsAsthma,50-69yearsChronickidneydisease,50-69yearsChronicobstructivepulmonarydisease,50-69yearsDiabetesmellitus,50-69yearsInterstitiallungdiseaseandpulmonarysarcoidosis,50-69yearsIschemicheartdisease,50-69yearsNeoplasms,50-69yearsOtherchronicrespiratorydiseases,50-69yearsRheumaticheartdisease,50-69yearsStroke,70+yearsAllcauses,70+yearsAsthma,70+yearsChronickidneydisease,70+yearsChronicobstructivepulmonarydisease,70+yearsDiabetesmellitus,70+yearsInterstitiallungdiseaseandpulmonarysarcoidosis,70+yearsIschemicheartdisease,70+yearsNeoplasms,70+yearsOtherchronicrespiratorydiseases,70+yearsRheumaticheartdisease,70+yearsStroke,AllAgesAllcauses,AllAgesAsthma,AllAgesChronickidneydisease,AllAgesChronicobstructivepulmonarydisease,AllAgesDiabetesmellitus,AllAgesInterstitiallungdiseaseandpulmonarysarcoidosis,AllAgesIschemicheartdisease,AllAgesNeoplasms,AllAgesOtherchronicrespiratorydiseases,AllAgesRheumaticheartdisease,AllAgesStroke,AllAgesTotal,Airpollution,Highbody-massindex,Highfastingplasmaglucose,HighLDLcholesterol,Highsystolicbloodpressure,Impairedkidneyfunction,Noaccesstohandwashingfacility,Smoking,Log10Pop,PercentUrbanPop,Density(P/mi2),Adults19-25,Adults26-34,Adults35-54,Adults55-64,65+,DaysSinceInfection,LandArea(mi2),Children0-18,Allriskfactors
4/3/2020,AL,Alabama,NaN,NaN,22,24,1432,8187,NaN,35,NaN,9619,NaN,NaN,NaN,4908621,570168.6587,3659.7009,6681.144192,6749.814568,13565.08879,886.5497221,21828.68842,34900.24792,1213.591906,817.4841169,10757.57736,703110.5178,2810.087619,16545.83126,47609.32695,38724.87416,2924.685506,80013.04456,155300.9985,1269.670979,1843.210299,33666.19258,505829.8863,1352.336696,15918.71659,47156.08242,19890.42277,3052.268454,72780.08195,94067.79564,474.1870658,1952.986147,39548.02721,1875057.249,10455.99462,39508.1184,101688.7664,72351.04243,6905.402659,174621.8149,286762.7583,3307.422404,4682.703699,84590.65171,2659931.925,120555.1909,464371.1943,409403.5928,180755.5756,343659.7833,131418.7291,761.1337023,469931.0534,6.690959501,59,96.9221,0.09,0.12,0.25,0.14,0.17,20,50645,0.24,1837700.899
4/3/2020,AK,Alaska,3/27/20,7,22,29,157,5859,NaN,3,15,6016,NaN,NaN,NaN,734002,84649.60526,580.2882576,577.1780923,597.197965,1475.908519,107.7465438,1515.344663,4405.979504,125.8331419,105.1732169,894.8796381,82939.0716,401.0250553,1255.875848,4084.72096,4197.864532,370.598334,7401.111054,17358.201,118.7649298,227.2418276,2756.291431,40420.0516,126.2119017,955.4448686,3326.558171,1730.343499,294.3186872,4488.027423,8223.517066,35.58487815,156.8542468,2673.487967,222098.06,1486.811652,2828.817996,8034.549041,7436.429,779.8432809,13404.48314,30416.84967,330.8992506,501.5615967,6390.339899,293708.6445,6290.441832,42849.93964,31928.93365,14174.61076,26325.63884,9116.36826,66.98381663,39514.96032,5.865697243,66,1.2863,0.09,0.13,0.26,0.13,0.12,21,570641,0.27,195489.7993
4/3/2020,AZ,Arizona,3/30/20,4,31,31,1769,22904,NaN,41,249,24673,NaN,91,NaN,7378494,708921.0209,6607.997304,5886.243784,5896.852324,14692.67765,752.5754032,12690.99594,34832.72948,1097.756995,546.9549033,7113.790544,750472.5258,4818.78721,15116.66407,41918.09532,42924.23671,3044.92581,65054.41109,144131.4177,1049.049717,1124.409553,22948.29392,616221.717,2592.178584,16877.71971,55839.28765,26990.53817,4238.704248,75510.95134,109764.8798,444.6937818,1332.714132,36100.03324,2189375.953,18354.71442,38216.01756,103902.4778,84873.08031,8089.374624,153256.3584,291804.5628,3015.503897,3064.258519,66658.91651,2960611.218,95028.90799,459583.5942,388586.8607,148145.201,300580.1802,120708.2158,769.0565857,420957.929,6.867967728,89.8,64.955,0.09,0.12,0.24,0.12,0.18,23,113594,0.24,1955853.497
4/3/2020,AR,Arkansas,NaN,NaN,23,29,704,8995,NaN,12,NaN,9699,60,NaN,39,3038999,330253.9607,2118.701553,3729.848364,3751.646255,7475.925976,461.5540022,14101.39954,21413.27526,643.2471886,429.9552748,5990.316882,402470.1963,1547.30825,9303.334992,27976.41092,20812.77906,1494.785506,53244.62628,89342.75386,640.7658334,879.6280878,17328.44332,311717.0448,734.680507,9984.189914,28970.49407,12246.13233,1748.873922,47973.03829,57667.79705,246.4987347,946.0002926,23809.64814,1099801.386,5745.768294,23217.74036,60808.9638,40656.3634,3729.066963,115319.0641,170051.9796,1733.762276,2295.539676,47487.66275,1570847.297,71944.75185,270348.9552,227480.5034,117399.1199,211980.4935,78734.44202,429.2069822,277288.2896,6.482730557,56.2,58.403,0.09,0.12,0.25,0.13,0.17,21,52035,0.25,1064295.644
4/3/2020,CA,California,3/19/20,15,31,31,10701,24599,59500,237,NaN,94800,NaN,NaN,NaN,39937489,3437984.307,32212.49492,32470.75597,28301.62793,66752.55995,3438.40443,64898.14355,190800.7865,5150.799699,2673.830694,43291.1537,3573154.847,23680.86483,77088.45726,153629.1418,191548.818,14603.77542,303142.8028,706944.4817,4294.187245,5311.322057,125404.9559,2734122.96,12160.12578,78321.85247,203601.0201,116779.2144,19429.99513,358764.1174,494642.1598,1738.662857,6428.183248,177829.8927,10302639.66,88895.68233,189382.092,386718.3723,376253.3828,37691.15321,726805.0637,1408565.741,12989.20552,14669.40703,348969.1851,13893578.94,497118.5683,2263098.469,1730000.462,715937.9694,1482464.827,591806.6204,3561.489181,1780659.186,7.601380756,95,256.3727,0.09,0.14,0.26,0.12,0.14,23,155779,0.24,8742412.723
4/3/2020,CO,Colorado,3/25/20,9,29,30,3728,16683,NaN,97,710,20411,NaN,NaN,NaN,5845526,497995.8611,4454.267499,3439.575323,4260.013597,7218.405519,573.9606983,7958.768406,24616.35757,817.601596,509.788522,4960.169862,519230.9561,3201.529694,8305.934561,29937.72797,20428.62458,2260.83253,38384.603,100159.913,760.7649107,1146.447349,15882.85808,382328.52,1612.904841,9533.11774,37410.73315,12381.76379,2769.438765,40098.54067,67570.22531,332.7945436,1312.23768,23851.65958,1480322.56,12159.25771,21473.89377,71787.23727,40200.64324,5643.587425,86441.91208,194631.3848,2225.670371,3024.609065,45034.50072,1962945.256,43939.0563,261958.6634,188187.3587,86539.07036,179979.5465,68151.13053,499.5757173,246844.6558,6.766823597,86.2,56.4011,0.09,0.14,0.26,0.13,0.14,22,103642,0.24,1217428.927
4/3/2020,CT,Connecticut,3/20/20,14,27,27,4914,15101,NaN,131,NaN,20015,NaN,NaN,NaN,3563077,320803.4684,3628.005257,2512.95758,3048.213384,6122.917276,402.3118338,6292.185793,18023.55941,566.1987375,271.9019214,3208.12381,389203.1469,2959.054147,6814.336492,18714.89548,20817.8795,1668.641251,30764.90138,83254.91615,595.768012,659.3312811,11335.06836,326665.3707,1450.257492,8749.743771,25058.59854,13495.60208,2230.917896,39690.98808,61154.49097,257.1737761,889.4910965,19140.92628,1084531.584,10300.10819,18200.08292,46926.07636,40541.86982,4317.252487,76748.07525,163623.5134,1582.497893,1838.221782,33863.95702,1482473.239,43483.68055,232051.2306,193246.7186,74876.27709,148029.5428,59587.03105,427.2009156,207027.4356,6.551825208,88,735.8689,0.08,0.11,0.27,0.15,0.17,20,4842,0.22,944175.0039
4/3/2020,DE,Delaware,3/22/20,12,24,29,450,4995,NaN,14,NaN,5445,71,NaN,NaN,982895,93183.49786,802.3096667,896.0584044,905.9745662,2011.653656,136.7105504,2024.536689,5587.211387,171.0707364,84.83939221,1011.172455,116737.3287,647.6563306,2598.073846,6293.356491,6868.5411,517.8959151,10985.58357,25962.67837,183.6343765,231.8758755,3811.382174,93107.21866,330.0263697,2729.595588,7681.644417,4333.993092,592.0783085,12512.98815,17760.71894,74.60495768,245.7453418,5881.143152,319305.9816,2315.057346,6272.834083,14911.54152,13249.07327,1253.435857,25523.10841,49710.9032,481.9632998,569.8256462,10766.80076,444360.525,17583.57323,74754.19813,66871.10721,24886.00489,48799.55974,20197.54069,122.0996776,67353.90365,5.992507126,83.3,504.3073,0.08,0.12,0.25,0.14,0.19,21,1949,0.22,299583.7931
4/3/2020,DC,District of Columbia,3/30/20,4,27,30,757,4827,NaN,15,NaN,5584,206,NaN,NaN,720687,76287.87679,627.8242655,966.1737804,419.1861846,1360.529973,103.3193211,1455.000458,4974.629539,100.9001337,54.09091452,910.8354179,65954.13844,347.5343696,1752.884716,1994.38999,3006.977687,307.9807322,7109.035922,15572.14741,91.34841606,113.011811,2405.557882,43213.37865,156.7310693,1488.503383,2035.991945,1767.421883,282.217701,6304.994246,8148.950882,32.34142585,89.80900274,2664.104712,200485.8536,1420.614828,4277.707417,4460.522537,6156.712703,697.5708398,14869.03063,29039.8946,249.2831654,261.7857015,6034.580321,267953.5563,8274.662337,47576.48788,30294.73233,14891.39668,36242.01878,12603.99727,77.40433482,34414.0452,5.857746688,100,11814.541,0.1,0.21,0.27,0.1,0.12,22,61,0.2,185095.0021
4/3/2020,FL,Florida,4/1/20,2,31,31,9585,82137,1225,163,1287,92947,NaN,NaN,NaN,21992985,1936007.43,15252.68057,17829.47284,20978.20563,41518.90918,2245.07521,44591.26422,109145.1578,3521.233896,1378.645977,24937.95759,2514491.024,13203.09872,49447.1303,148779.1489,143598.396,9836.781768,221078.1059,529609.2458,3680.377999,3274.893932,88030.74696,2226033.317,7709.122462,59804.90436,191654.1416,100249.1043,14397.49175,291383.6822,409616.5547,1490.036507,4373.58266,134131.6855,6992550.744,46930.68226,127989.8344,362055.1522,286035.9769,26629.00972,557053.0523,1057014.221,9758.907878,9175.396167,248652.552,9723845.529,280763.9539,1627131.448,1404097.333,539553.4854,1118425.468,424978.2759,2201.266051,1532184.386,7.342284178,91.2,410.1256,0.08,0.12,0.25,0.14,0.21,23,53625,0.21,6447762.712
4/3/2020,GA,Georgia,4/2/20,1,31,31,5831,19434,NaN,184,1158,25265,NaN,NaN,NaN,10736059,1063620.208,8206.249159,12585.39673,11295.50872,24347.22557,1534.138022,31553.87874,61558.16376,2039.591745,1158.711734,17828.36458,1206618.613,5695.921585,30618.36413,70273.12963,68323.64866,5406.773461,120502.2808,249353.8499,1959.323254,2664.711516,52912.20046,796013.5204,2428.097004,27271.92731,70309.22087,35027.61835,5182.452304,100836.0004,145095.7614,682.6043445,2445.492438,56737.67164,3262301.257,22781.92512,71133.60751,152269.5014,128127.6781,12206.99488,252892.1599,461058.3811,5380.061486,6382.601606,128523.8309,4503057.999,189990.6759,798353.5391,665463.5206,263405.9622,561379.978,217773.0261,1301.968357,682618.4671,7.030844889,75.1,186.6719,0.09,0.12,0.27,0.12,0.14,23,57513,0.26,3030888.263
4/3/2020,HI,Hawaii,3/23/20,11,28,28,285,10206,NaN,2,15,10491,72,6,NaN,1412687,117149.8218,1276.578935,1198.208272,858.6023269,2337.566789,136.4529495,2655.086385,7644.701389,180.4555997,133.5514813,1702.858357,143179.5291,1134.653045,3156.230389,5155.149375,7609.183011,616.2337426,12898.19627,31388.16061,202.2914332,344.1557035,5816.311094,118690.2434,617.2764016,3617.506584,6356.924198,5047.445738,814.9049047,12648.03782,21459.79385,100.7789439,350.6089613,8649.822392,400813.3851,3854.46834,8035.394417,12406.84494,15038.63817,1572.284888,28201.32048,61066.27726,542.0494069,837.8869906,16250.12464,548618.6746,4555.609063,84934.73669,71874.51544,28488.72522,61419.26266,24904.44655,150.5363442,73375.05977,6.150045949,91.9,219.9419,0.07,0.12,0.25,0.13,0.19,20,6423,0.23,335219.9407
4/3/2020,ID,Idaho,3/25/20,9,21,28,891,7054,NaN,9,56,7945,NaN,7,NaN,1826156,154528.9754,1118.953689,1169.90607,1316.195778,2776.950709,200.4155785,2753.757181,8111.685262,268.9034328,172.8621236,1701.00546,167400.1434,907.1977749,2748.747511,10177.4329,8859.840398,770.9748093,14363.73767,34328.4743,277.8558379,420.8572751,5462.169986,141583.9098,499.5914321,3640.936758,13274.4929,6151.482387,1113.740399,16693.62594,25805.29183,145.3440011,525.8554922,9354.160443,490096.3478,3196.198622,7627.485503,24828.97505,17857.85105,2097.037168,33811.1208,69080.67532,801.291058,1139.780565,16645.77711,667182.54,15111.22648,98716.14536,83603.28,32954.74362,66269.87568,25304.17788,163.9223222,94774.29577,6.261537875,70.6,22.0969,0.09,0.12,0.24,0.12,0.16,20,82643,0.27,418245.5851
4/3/2020,IL,Illinois,3/20/20,14,31,31,8904,39144,NaN,210,NaN,48048,NaN,NaN,NaN,12659682,1194875.584,10697.41884,11667.62435,10886.04949,23982.60885,1467.106747,29964.15321,68613.32804,2020.393394,1089.005852,15091.70489,1378253.093,7429.748026,30995.63695,69500.67769,73617.9494,5640.260654,135534.4515,306080.0057,2072.731561,2450.721026,49645.35432,1080032.28,3293.907675,34980.99845,85519.95664,44860.4429,7002.221506,144559.568,206966.4904,874.4506799,3114.589466,72932.84651,3856858.496,27871.54417,78238.16671,166299.8486,142931.5703,14183.46966,310058.1728,587151.0931,5627.691495,6760.689033,138631.3103,5334612.052,213305.8158,923617.9751,729588.0766,310815.4422,645162.7351,247372.1204,1552.414453,798167.6606,7.102422797,88.5,228.0243,0.09,0.12,0.26,0.13,0.15,23,55519,0.24,3475259.999
4/3/2020,IN,Indiana,3/23/20,11,29,29,3437,14398,NaN,102,NaN,17835,NaN,NaN,NaN,6745354,684973.0252,5548.683129,6457.081547,8286.031718,14440.67855,924.1871544,20689.37939,39672.62262,1437.093013,736.7892313,9140.068925,821842.4272,4223.36145,17916.88186,59193.72813,47190.20108,3412.365263,86616.79022,178015.2895,1519.020161,1702.315072,30113.01211,626821.1793,2125.098946,20971.25307,61222.82146,28471.59676,4186.217654,83501.3568,114540.5561,573.3742958,2004.913994,42138.33614,2251788.809,15619.51449,45728.72821,128944.8451,90382.78519,8579.38641,190807.5264,335521.3455,3971.223556,4514.213547,81993.97851,3157852.356,147035.107,538660.1377,479370.3937,192736.6324,362145.5862,147117.2547,871.7203194,523097.3447,6.829004747,72.4,188.281,0.09,0.12,0.25,0.13,0.16,21,35826,0.25,2102643.119
4/3/2020,IA,Iowa,NaN,NaN,26,29,699,8754,NaN,11,138,9453,188,NaN,NaN,3179849,257099.0299,1701.281704,1957.237069,2572.418391,5126.42231,355.3637032,6631.436301,16363.38195,473.2951354,224.6918283,3009.664885,332201.5265,1428.931427,5332.878292,20281.26343,17296.6016,1461.869049,34141.67568,75779.61109,520.6505087,565.7142078,10398.32076,298920.7083,761.8806593,7880.478594,26702.40099,11928.28489,2177.824748,40646.30724,56445.37932,248.4872764,766.8011436,19781.59412,932395.414,4967.956145,15289.4791,49658.38579,34459.75039,4017.893283,81419.41922,150189.1967,1422.213129,1586.223302,33403.58904,1308809.52,48801.98526,210748.5839,172087.4676,79051.92262,146536.7677,53855.14441,330.3149753,208072.3808,6.502406497,64,56.9284,0.09,0.12,0.24,0.13,0.17,21,55857,0.25,816300.9244
4/3/2020,KS,Kansas,3/28/20,6,27,29,620,6454,NaN,17,151,7074,NaN,NaN,NaN,2910357,269280.2004,2134.140782,2462.764238,2656.102043,5453.591606,377.1529584,6760.826027,15730.72669,520.8966943,286.8792978,3468.690329,320387.8491,1473.394028,6522.329748,20802.03337,17217.39004,1428.11344,30750.30197,70310.63123,552.4561686,706.8871406,11729.03213,261673.6205,710.8861096,7937.809092,23970.24409,10785.75304,1759.900507,34471.26679,47589.6981,246.6038415,826.3945521,18708.51202,900688.5117,6048.175019,17068.10449,47534.44552,33576.10169,3590.234588,71982.39479,135171.3631,1518.833079,1852.847398,34144.80229,1253175.814,46266.14067,202269.0273,171449.3095,71912.05506,137546.5753,55745.25003,343.4926163,190276.9971,6.463946265,74.2,35.5968,0.09,0.12,0.24,0.13,0.16,21,81759,0.26,794751.3806
4/3/2020,KY,Kentucky,3/22/20,12,28,29,770,12034,NaN,31,NaN,12804,NaN,NaN,NaN,4499692,526779.0749,3725.244547,4880.969588,7393.633883,10914.84199,645.9279606,18115.68713,31018.89608,1125.157859,598.2134064,7047.251063,656307.3364,2908.597258,13562.29555,51415.30352,34007.34669,2318.102748,75088.2197,146671.1277,1154.859168,1400.536304,23542.35722,465356.905,1386.800354,14945.22915,48651.22894,19633.63211,2623.501798,63960.25406,89354.7497,393.0119576,1417.677223,31380.89758,1726982.265,10517.22035,33646.28045,107631.3799,64744.16066,5625.681547,157164.1609,269254.6033,2983.776475,3470.217733,62426.57435,2444446.321,115275.7732,413034.6256,366592.8159,160071.6244,300898.1092,111726.8606,624.8836434,456182.047,6.653182788,58.4,113.9566,0.09,0.12,0.26,0.14,0.16,21,39486,0.24,1752267.121
4/3/2020,LA,Louisiana,3/22/20,12,26,27,10297,43348,NaN,370,1707,53645,NaN,NaN,535,4645184,525457.7057,3061.457023,6587.776554,4889.264101,10919.18742,708.2599009,17071.7187,31086.34547,946.5289419,540.4745936,7938.130389,616218.8585,2374.97065,17094.22674,33017.58178,33288.441,2617.441135,72859.29312,134858.2403,930.3377695,1256.533593,26156.73939,416780.6105,1148.704383,15438.63529,33377.18788,18756.08182,2650.95926,58031.85443,76441.49988,334.663634,1214.408106,28540.89509,1654897.799,8806.512791,39524.37791,71452.69984,63183.09078,6018.255095,147962.8663,245123.7402,2538.187542,3077.994219,63184.89827,2305770.422,89342.10402,429581.3953,356198.4749,151875.7967,323430.5368,121807.3281,563.4736493,364448.342,6.667002921,73.2,107.5175,0.09,0.12,0.25,0.13,0.15,20,43204,0.25,1600592.392
4/3/2020,ME,Maine,3/31/20,3,23,28,432,6088,NaN,9,75,6520,113,NaN,NaN,1345790,119680.8553,1080.113517,967.6338248,1251.975268,2446.240375,180.9287798,2763.752759,7440.387125,215.4160587,115.0548801,1311.407134,182337.1357,1026.537362,2991.916679,11641.67896,10266.74789,854.1562605,15231.66199,43068.25254,279.8623606,375.6712541,5622.490283,155624.7785,529.6781242,4170.486833,14648.08378,6644.190878,1201.263482,18611.17718,30898.97669,133.2131835,454.8089621,9285.594666,476218.6617,3306.020245,8183.700546,27579.98572,19401.48287,2246.027275,36606.59193,81943.58614,695.2226575,954.8269246,16300.77979,673436.8858,12264.89404,101990.3067,95363.14539,35169.871,70116.07815,27263.48211,182.3358572,113952.4027,6.128977297,38.7,43.6336,0.07,0.11,0.26,0.16,0.21,20,30843,0.19,438113.9115
4/3/2020,MD,Maryland,3/30/20,4,29,30,2758,20932,NaN,42,664,23690,159,NaN,NaN,6083116,581152.1369,5426.320515,5787.320718,5267.754361,12495.05539,852.9186751,14324.09103,34839.53156,1053.719934,561.6149625,7637.273598,675071.8179,3922.25068,14423.68413,30908.7555,38287.64538,2953.510562,63795.09368,143000.7445,1010.166949,1066.279202,23738.07306,490150.5567,1685.654573,14430.99564,34960.54682,21485.06926,3178.132568,64626.13978,90424.52267,374.6163427,1099.250927,31920.86967,1848252.792,14559.17059,34940.53791,71325.42058,72487.57869,7024.187583,142745.3245,270939.507,2767.324519,2774.40024,63701.23137,2531517.475,92422.15659,448169.256,355185.0682,143342.5128,313917.2118,111982.8539,799.6344221,350957.4516,6.784126098,87.2,626.6731,0.08,0.12,0.27,0.14,0.15,22,9707,0.23,1615326.858
4/3/2020,MA,Massachusetts,3/23/20,11,31,31,10402,52560,NaN,192,966,62962,NaN,NaN,NaN,6976597,605231.3728,5404.917435,4577.648797,5174.207297,10461.78232,754.2770121,12878.72281,35281.36212,985.6379112,545.9083293,6459.512094,699848.4134,4278.161531,12428.00273,34180.73555,35634.75504,3159.00435,57631.35152,158131.1352,982.5041121,1121.060418,20903.65904,597490.6899,2180.087055,17243.02703,44554.14296,23019.31251,4227.215424,71320.76116,116596.0475,447.8037432,1727.007431,35996.49787,1987994.776,15315.35083,34460.02885,84088.4126,69303.85507,8175.18535,141830.8355,312385.8227,2707.190743,3439.324265,63740.39475,2723441.177,65632.06887,415400.7411,341483.9198,139757.3632,276376.3042,111784.5352,840.1582211,393501.3834,6.843643637,92,894.4355,0.09,0.13,0.26,0.14,0.17,23,7800,0.21,1762562.931
4/3/2020,MI,Michigan,3/23/20,11,24,30,12744,11893,NaN,479,NaN,24637,NaN,NaN,NaN,10045029,933813.5088,8360.219526,8592.854686,9900.997775,18871.11803,1245.733962,26454.30856,54562.87263,1667.116237,868.6018178,12358.81245,1247176.753,6974.744639,24535.03209,77251.06491,70155.99988,5400.673972,138686.0992,266778.3031,1884.300694,2050.437486,43879.77346,986303.5622,3492.888609,29076.64897,86284.5457,45768.71714,6724.479888,149688.8757,178108.9125,729.8080632,2749.440924,63339.42274,3324432.362,24268.06155,62677.65445,173749.5526,135177.1847,13444.46483,314829.2835,504063.7442,4806.366546,5756.245699,120374.9351,4683579.855,180595.9243,837119.1277,726446.3128,308187.18,598517.8605,216330.6701,1164.124019,733381.5068,7.001951195,74.6,177.6655,0.09,0.12,0.25,0.14,0.17,22,56539,0.23,3178827.435
4/3/2020,MN,Minnesota,3/25/20,9,28,29,789,23438,NaN,22,156,24227,NaN,40,NaN,5700671,429951.1999,3638.386695,3317.415952,3260.213501,8597.98286,549.8119746,8568.103759,25547.06308,669.4481181,414.8151937,4832.828666,514853.1971,2778.772715,8880.324631,24455.94065,28098.30099,2434.080058,37449.30196,118905.5904,738.9265967,977.8686268,16769.15769,433807.7274,1319.256654,12870.05844,34183.64099,18146.73509,3335.703382,43349.11394,87227.83345,391.4723493,1449.344695,28685.80237,1457326.999,10214.58083,25259.70649,62047.9449,55030.4394,6350.714732,89366.51965,234232.0995,2056.838626,2887.61289,50641.13423,1995414.59,50955.54332,299458.7972,245267.781,90787.27701,187651.791,76185.26439,472.2404377,284333.5068,6.755925978,73.3,71.5922,0.08,0.13,0.25,0.14,0.16,21,79627,0.24,1204112.358
